business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,main_category,sub_category_1,sub_category_2
1Fg-OXtRnmBn6OchuprR1A,Air-Care Air Duct Cleaning,3868 E Post Rd,Las Vegas,NV,89120,36.0758273,-115.0902009,3.5,3,Air Duct Cleaning,Heating & Air Conditioning/HVAC,Local Services
Gqgb-PtB0emvs1__y7p3gA,Southwest Lawn Shaping,,Las Vegas,NV,89131,36.3656399,-115.2244853,4.0,4,Landscaping,Gardeners,Irrigation
pEams-rZSbTNb5QVQ7xBQw,O'Reilly's Auto Parts,1250 South Lamb Blvd,Las Vegas,NV,89104,36.1580527,-115.0796859,3.5,5,Auto Parts & Supplies,Automotive,""
-UHf5wUtcLKr90GgroWuqQ,Shadow Rock Park,2650 Los Feliz St,Las Vegas,NV,89156,36.2084693909,-115.014709473,3.5,8,Active Life,Parks,Amateur Sports Teams
wBsZShKsemJ9B2Fxm9ntAw,The Millennium Consulting Group,"5940 S Rainbow Blvd, Ste 3013",Las Vegas,NV,89118,36.081186,-115.241087,5.0,3,Home Services,Real Estate Services,Mortgage Brokers
OWT7dH6fd9wnxn-Wb6ld1g,Green Valley Grocery,8601 W Charleston Blvd,Las Vegas,NV,89117,36.1586057,-115.2806627,3.5,3,Food,Convenience Stores,""
uahhSprc5CJmE8Cm9H_bnw,Dollar Loan Center,"7875 S Rainbow Blvd, Suite 101",Las Vegas,NV,89139,36.0451256,-115.2436311,3.0,4,Financial Services,Check Cashing/Pay-day Loans,""
s7c4wbxNj8s4hHX6oHQ2mA,Convention Magician,,Las Vegas,NV,89139,36.0402159,-115.2244853,5.0,6,Performing Arts,Magicians,Arts & Entertainment
MgSd4P3ATkiywbbraFygHg,Plantone's Italian Market,8680 W Warm Springs Rd,Las Vegas,NV,89148,36.0560801,-115.2808739,4.0,197,Delis,Pizza,Italian
_A7uG2bm-ue91Zvg8KK8Vg,National Survival Store,"4663 Spring Mountain Rd, Ste A",Las Vegas,NV,89102,36.1258855,-115.2044879,3.0,4,Outdoor Gear,Sporting Goods,Shopping
Rzm50fEb4i_9ufyIL7bNEw,Nevada State Escrow,"6325 McLeod Dr, Ste 7",Las Vegas,NV,89120,36.074831,-115.111861,5.0,3,Real Estate Services,Real Estate,Home Services
8xQcE8yyn2icpo-lPXf4Dg,Airport Runway Vista,E Sunset Rd,Las Vegas,NV,89120,36.0715262,-115.1017683,4.5,14,Landmarks & Historical Buildings,Public Services & Government,""
LYWbyu1EQM2o5hwHG5_Ldg,RM Seafood,3950 S Las Vegas Blvd,Las Vegas,NV,89119,36.093063,-115.17631,3.5,866,Sushi Bars,Seafood,Restaurants
MPLfrpdHn9ln_z-ENmoYiA,LA Laser Hair Removal LV,"621 South Tonopah Dr, Ste 150",Las Vegas,NV,89106,36.163552,-115.169555,5.0,123,Hair Removal,Beauty & Spas,Skin Care
JLTaNjAeCx_ILNV07EORNQ,Kinetico Quality Water Systems,1620 W Sunset Rd,Las Vegas,NV,89014,36.0711748,-115.1738015,4.0,67,Home Services,Water Purification Services,Local Services
gQXeLTrzLcsMOr0YjqbJ7Q,Albertsons,5500 Boulder Hwy,Las Vegas,NV,89122,36.1017028,-115.0545606,2.5,35,Convenience Stores,Drugstores,Grocery
PmOiYam7Bt_TLEAKabq2Hw,Anthony's Towing,5375 S Cameron St,Las Vegas,NV,89118,36.0922688,-115.2042308,4.0,25,Automotive,Towing,""
rIcQJRS-rvVJclYuHvaGTA,Port of Subs,"2833 East Desert Inn Rd, Ste 3",Las Vegas,NV,89121,36.1293291,-115.1114772,3.0,23,Sandwiches,Delis,Restaurants
EsXIpj31r_mK6VNw7UQy0w,Fresh Market On The Go,"5757 Wayne Newton Blvd, Ste 21",Las Vegas,NV,89111,36.0883812,-115.1506875,3.5,7,Grocery,Food,""
FRyMXbLyWdFM1VjGCTJsmw,Sams Cycle Supply,3601 N Rancho Dr,Las Vegas,NV,89130,36.2047,-115.191482,3.5,28,Motorcycle Dealers,Automotive,Motorcycle Repair
X_l27mVo4vCh_YRFRlecgw,Artkore,"6035 Harrison Dr, Ste 3",Las Vegas,NV,89120,36.0805606,-115.1127325,4.5,7,Automotive,Professional Services,Graphic Design
GtNseUDq7ASz_GcI1McYoA,Bargain Smokes,"5516 Boulder Hwy, Ste 2D",Las Vegas,NV,89122,36.1009842,-115.0544387,2.0,4,Shopping,Professional Services,Vape Shops
uxPIcOuaFghZAU8mtXBOdQ,Mobile Money Mentor,,Las Vegas,NV,89101,36.1697096,-115.1236952,5.0,4,Financial Advising,Financial Services,Life Coach
TyI7MD0tx1Cpqbi_bsfE2Q,Desert Chiropractic Rehab,"7810 West Ann Rd, Ste 110",Las Vegas,NV,89149,36.2638786,-115.2659113,5.0,7,Sports Medicine,Cryotherapy,Chiropractors
HJ785L7KY6ClATb1KEiXHg,DQ Grill & Chill,"10410 S Decatur Blvd, Ste 100",Las Vegas,NV,89141,36.0002015856,-115.207334681,2.5,12,Restaurants,Fast Food,Desserts
URQQqvHvktnVJCMRE2S5Tg,Jimmy John's,"2595 E Craig Rd, Ste A",Las Vegas,NV,89030,36.239558,-115.114848,3.0,20,Restaurants,Sandwiches,""
sj1mJAS4SR4EM5u1BT0s8w,Efficient Cleaning and Restoration Services,,Las Vegas,NV,89123,36.0357492,-115.1533426,3.5,3,Carpet Cleaning,Local Services,Carpeting
CH5ytWTfEIC2M9Q9TQzj-w,Hamilton & Manuele Orthodontics,"401 N Buffalo Dr, Ste 220",Las Vegas,NV,89145,36.1773745,-115.2606684,5.0,22,Dentists,Cosmetic Dentists,Health & Medical
wRQmmD-hkPUhnRW02j75Ow,Skinworks Sensitive And Acne Skincare,"7656 W Sahara Ave, Ste 130",Las Vegas,NV,89117,36.144978,-115.257921,5.0,26,Skin Care,Beauty & Spas,Acne Treatment
YRwZVTAdvSsQ68jI7NM8jQ,"Carl N. Williams, Jr. M.D","2020 Goldring Ave, Ste 504",Las Vegas,NV,89106,36.1618498,-115.1688021,3.5,3,Health & Medical,Doctors,Cosmetic Surgeons
RLvyPLb8uNeHW6mli1yOZA,Fiiz Drinks Las Vegas,"9773 W Flamingo Rd, Ste 1",Las Vegas,NV,89147,36.1140062,-115.3056816,4.5,34,Beverage Store,Juice Bars & Smoothies,Breakfast & Brunch
lQeeyNh8YwypuBDN1Y8Dyw,Dr. Suds Mobile Detailing,,Las Vegas,NV,89147,36.1148054,-115.2778317,5.0,12,Auto Detailing,Automotive,Car Wash
1q44aWEcDN7uRvA2l8xpvQ,Walgreens,3808 E Tropicana Ave,Las Vegas,NV,89121,36.1007156,-115.0909852,2.0,8,Drugstores,Photography Stores & Services,Beauty & Spas
y4usLFyaw3XyY5sI7tMAOw,Kowalski Lynn MD,,Las Vegas,NV,89101,36.1697096,-115.1236952,2.5,3,Health & Medical,Doctors,""
VA0GbpAN0qpa3bdHJ2a2iA,El Tenampa,556 N Eastern Ave,Las Vegas,NV,89101,36.1721046,-115.1148655,2.0,13,Mexican,Restaurants,""
0nLndWejyCMeNRyumHRUEA,"Zuffa, LLC","2800 W Sahara Ave, Ste 5C",Las Vegas,NV,89102,36.1452494,-115.1795498,3.5,3,Arts & Entertainment,Professional Sports Teams,Active Life
lJickAvhPJ4L6wc7Epyx5A,Curl Up N Dye,"2550 S Rainbow Blvd, Ste E-17",Las Vegas,NV,89146,36.1431923,-115.242116,4.5,107,Hair Salons,Beauty & Spas,""
dX4WRSVR9ZWLcD-igQAuFA,Get Clean LV,,Las Vegas,NV,89121,36.1165487,-115.0881146,5.0,7,Air Duct Cleaning,Local Services,Pressure Washers
O-RTfWQ10wAvqijCRpMGDg,Nail Max,3355 E Tropicana Ave,Las Vegas,NV,89121,36.0989953,-115.1025713,3.0,29,Hair Removal,Beauty & Spas,Waxing
4b6x6JtklgL3krPBPu7ttA,LASIK of Nevada,"1225 S Fort Apache Rd, Ste 145",Las Vegas,NV,89117,36.1569084501,-115.292589036,4.5,7,Doctors,Health & Medical,Optometrists
RF9oGHwfGlx4Mf45nxcFdw,The Clubs At Rhodes Ranch,8975 W Warm Springs Rd,Las Vegas,NV,89148,36.054435,-115.287549,3.5,31,Home Services,Real Estate,Apartments
i85ieWNVIsetPiPJz0RU1g,Jjc Clocks and Antiques,1310 S Main St,Las Vegas,NV,89104,36.155679,-115.154125,4.5,8,Shopping,Antiques,Local Services
ujVvI7_HZPUKagnBddPHPA,The Resort On Mt Charleston,2275 Kyle Canyon Rd,Las Vegas,NV,89124,36.3257717,-115.3289816,3.0,221,Hotels & Travel,Ski Resorts,Event Planning & Services
ZyOLevFrV7Vxi0OOS3lf-w,Fork & Burger,"6280 S Valley View Blvd, Ste 100",Las Vegas,NV,89118,36.0756714889,-115.188952088,4.5,75,American (Traditional),Restaurants,Breakfast & Brunch
hy1TkGNnDuHfUHf_7kUqRw,Habaneros Taco Grill 2,604 N Rainbow Blvd,Las Vegas,NV,89107,36.1793058477,-115.241916363,4.0,41,Restaurants,Fast Food,Tacos
POIowl4F1ZiHdKLnx__ulw,Chipotle Mexican Grill,"6211 N Decatur Blvd, Ste 110",Las Vegas,NV,89130,36.2717661003,-115.207065941,3.5,35,Fast Food,Restaurants,Mexican
qgeCgPdQslfsr-PXgAsCrQ,Jenna Montijo - One Nevada Realty Services,2645 S Mojave Rd,Las Vegas,NV,89121,36.1418981,-115.1056572,5.0,3,Home Services,Real Estate Agents,Real Estate
wQq2b5-NsJseMaCJ768ZXA,Straight Flush CrossFit,"8544 Blue Diamond Rd, Ste 110",Las Vegas,NV,89178,36.0216397,-115.2776613,5.0,11,Fitness & Instruction,Interval Training Gyms,Active Life
_881w3eUgTJiM-sKvY3DfA,Diesel,3500 Las Vegas Boulevard,Las Vegas,NV,89109,36.1218721,-115.1804115,2.5,5,Women's Clothing,Accessories,Fashion
Div_tfuMosPo5mPj21nLQQ,Posterhead Signs,"3560 Polaris, Ste 8",Las Vegas,NV,89103,36.124766,-115.18498,5.0,28,Printing Services,Signmaking,Advertising
gOCizq2d2ku1LKKX-byeDw,Clinical Pathology Laboratories,"6295 S Rainbow Blvd, Ste 103",Las Vegas,NV,89118,36.0745775,-115.2431254,3.0,12,Pathologists,Health & Medical,Laboratory Testing
zBpCOoy5w6c6N9x6Sq9_QA,Notary on Demand LV,,Las Vegas,NV,89127,36.18,-115.15,5.0,7,Local Services,Professional Services,Notaries
8-XYhih_12vBw4_IIvxiHQ,Southern Nevada Pain Center,"6950 W Desert Inn Rd, Ste 110",Las Vegas,NV,89117,36.1298756,-115.2445306,2.5,13,Doctors,Health & Medical,Pain Management
dtJYPbWv0cli924MqKRNUw,Divine Events,"6380 S Valley View Blvd, Ste 316",Las Vegas,NV,89118,36.074147,-115.189719,5.0,4,Event Planning & Services,Party & Event Planning,Caterers
SUTTl_NCJb5JYdlMBnuVxg,Wetzel's Pretzels,"3700 Flamingo, #18",Las Vegas,NV,89103,36.1176493,-115.188279,3.5,13,Pretzels,Food,""
xj0UTEuHMKcpEoDg9UwpGQ,Vegas Suds Carwash,3810 N Jones Blvd,Las Vegas,NV,89108,36.228268,-115.225082,4.0,17,Automotive,Car Wash,""
fF0-vRQCmNBphQ46PiQzUQ,Totally Made Over,"4760 S Pecos Rd, Ste 212",Las Vegas,NV,89121,36.170565694,-115.139822228,4.0,6,Hair Salons,Shopping,Cosmetics & Beauty Supply
rLN-jsC7_SfQkxDEMeDBwg,Papa Murphy's,"8426 Farm Rd, Ste 110",Las Vegas,NV,89131,36.3013607105,-115.282188144,3.0,21,Salad,Pizza,Restaurants
cqpjuasqGOGVkrt1poQ9ZQ,Jenny's Dispensary,5530 N Decatur Blvd,Las Vegas,NV,89130,36.2603710667,-115.206734774,3.0,24,Medical Cannabis Referrals,Shopping,Cannabis Dispensaries
nW2I9DVZ7ndUg8D1kxk9Sw,Silver Hills Health Care Center,3450 N Buffalo Dr,Las Vegas,NV,89129,36.2233703,-115.2594674,3.0,17,Rehabilitation Center,Medical Centers,Health & Medical
ZvOmAC399U1qPFAPMPmSLw,Craig Rd Barber Shop,"4955 E Craig Rd, Ste 8",Las Vegas,NV,89115,36.2400118,-115.065612,4.5,9,Barbers,Beauty & Spas,""
iiIXOU0L-KUCjuNES2e6Cw,Rubio's,"9310 W Sahara Ave, Ste 100",Las Vegas,NV,89117,36.144951,-115.298961,4.0,96,Fast Food,Restaurants,Seafood
KmrSFmgklopFLxA5h8wS0w,Voss Automotive Group,3115 Fremont St,Las Vegas,NV,89104,36.1504899,-115.1058573,5.0,7,Auto Repair,Auto Upholstery,Automotive
Bwmbcu6m5HwYzoTjcgGYSw,Supercuts,"7065 W Ann Rd Ste 140, Rio Vista Plaza",Las Vegas,NV,89130,36.2612286629,-115.247529122,4.0,10,Cosmetics & Beauty Supply,Hair Salons,Hair Stylists
y3EkxHO-qPODtzs_D6E7Rw,Pearl Ocean,300 W Sahara Ave,Las Vegas,NV,89102,36.1440868,-115.1608924,4.0,148,Barbeque,Cantonese,Chinese
AVZpYhn-BbimW9PotQS6AA,Ruby Eyebrow Threading,6895 E Lake Mead Blvd,Las Vegas,NV,89156,36.1942856861,-115.02558244,3.0,7,Beauty & Spas,Eyebrow Services,Hair Removal
2D4mJtcmvmL_9KzV5syLjg,Martial Arts Center MAC Taekwondo,"8090 Blue Diamond Rd, Unit 150",Las Vegas,NV,89178,36.0209176,-115.2672983,5.0,6,Fitness & Instruction,Martial Arts,Active Life
3yVdBMWc6zaPHsXcpDwzhQ,Pioneer Park,7449 Braswell Dr,Las Vegas,NV,89128,36.185951,-115.254378,3.5,3,Active Life,Parks,""
CIbhERjr5vvvKViMeBF8tg,Palm Medical Group,"3150 N Tenaya Way, Ste 415",Las Vegas,NV,89128,36.2167718,-115.2495743,3.0,6,Health & Medical,Doctors,Osteopathic Physicians
2NAWda5gQs4CwbOt6hYaYg,The Retina Center At Las Vegas,6839 W Charleston Blvd,Las Vegas,NV,89117,36.1586099,-115.2451251,2.5,4,Ophthalmologists,Doctors,Optometrists
_V0yJdpXrbdKzBDoVSJGWA,Silver Sevens Hotel and Casino,4100 Paradise Rd,Las Vegas,NV,89169,36.1141583,-115.1535379,2.5,319,Hotels & Travel,Hotels,American (Traditional)
LsZAdstiRBP_FAvvuAiE5Q,SimonMed Imaging,"3061 South Maryland Pkwy, Ste 102",Las Vegas,NV,89169,36.133982,-115.1368702,4.5,6,Health & Medical,Diagnostic Services,Diagnostic Imaging
EB0SR4DGewe6jcHo_0fwNw,Project Management Academy,"Regus Business Center, 3960 Howard Hughes Pkwy, Suite 500",Las Vegas,NV,89169,36.116821,-115.156943,5.0,8,Tutoring Centers,Education,Test Preparation
q-zBlEnVmgHjqhu9d0asJA,Wrap City Las Vegas,"3871 S Valley View Blvd, Ste 3",Las Vegas,NV,89103,36.1197586826,-115.190530464,5.0,14,Graphic Design,Signmaking,Automotive
wFdUTh7MCN-gV-m-OFJD6g,Rims Enterprises,2620 Regatta Dr--Ste 102,Las Vegas,NV,89128,36.2074847,-115.2682033,5.0,3,Real Estate,Property Management,Home Services
b4a9xvX1LtwcZx6a5SiFVw,Port of Subs,"9255 S Eastern Ave, Ste 300",Las Vegas,NV,89123,36.021123,-115.119086,4.0,31,Sandwiches,Restaurants,Delis
vfrTGTqBjpQKupqI4lCQtg,Quality Moving,"6360 S Pecos Rd, Ste 13",Las Vegas,NV,89123,36.0728695,-115.099769,5.0,3,Movers,Home Services,""
hLzQnVDR1L8EdTvKCF20fw,Wells Fargo Bank,"445 E Windmill Ln, Ste 2D",Las Vegas,NV,89123,36.0413968785,-115.153410264,3.0,15,Financial Services,Banks & Credit Unions,""
jLxeBgWhLRbII2ACkgH1Sg,La Belle Terre Bread French Bakery Café,"8390 W Sahara Ave, Ste 130",Las Vegas,NV,89117,36.1443811,-115.2742995,4.0,524,Bakeries,Restaurants,Breakfast & Brunch
D2Xe6lClUyo88cZEbbH5Nw,MC Mojave Construction,5001 Jay Ave,Las Vegas,NV,89130,36.222741,-115.210165,4.5,3,Shopping,Home & Garden,Interior Design
YY0zHGIqBIVcIpjVmOu54A,Starbucks,5757 Wayne Newton Blvd,Las Vegas,NV,89119,36.0838389,-115.148385,2.5,7,Food,Coffee & Tea,""
LArP8v1EOGTt5Qy_AWNjRw,CrossFit Social City,"3665 S Fort Apache Rd, Ste 104",Las Vegas,NV,89147,36.1232128,-115.2979709,5.0,7,Health & Medical,Interval Training Gyms,Fitness & Instruction
MQ-WejDXsaCP0z1qT4R33g,Az Liquor,9827 W Tropicana Ave,Las Vegas,NV,89147,36.0999427216,-115.306629315,4.0,5,Beer,Wine & Spirits,Food
xOZd6roDjtb_ILWEwUKfOQ,JCPenney Portraits,4485 S Grand Canyon Dr,Las Vegas,NV,89147,36.108512,-115.309295,2.0,24,Event Planning & Services,Session Photography,Photographers
8PYqiPwo9ZtaN-P9XplP1w,Sugar Factory,5757 Wayne Newton Blvd,Las Vegas,NV,89119,36.082074,-115.137213,2.0,4,Shopping,Candy Stores,Souvenir Shops
1eWShhnZqavKcKcA8noVOg,Elite Carpet Care,"8255 S Las Vegas Blvd, Ste 313",Las Vegas,NV,89123,36.039847,-115.176084,4.0,4,Carpet Cleaning,Professional Services,Home Services
kPV1DlXSkcXY5G8r2LLmEA,Ichabod's Lounge,3300 E Flamingo Rd,Las Vegas,NV,89121,36.1166840723,-115.103589329,4.0,160,Nightlife,Restaurants,Bars
CorrByydi35r-6SvmhYFHA,Glammed Up,,Las Vegas,NV,89109,36.128561,-115.1711298,5.0,35,Beauty & Spas,Hair Salons,Makeup Artists
P7pxQFqr7yBKMMI2J51udw,Holsteins Shakes and Buns,3708 Las Vegas Blvd S,Las Vegas,NV,89109,36.109842,-115.174603,4.0,2771,American (Traditional),Burgers,Bars
CLdn-jOifbwtoKUvy9V_0Q,Venezia,3355 Las Vegas Blvd S,Las Vegas,NV,89109,36.1214762806,-115.169934999,3.5,27,Hotels & Travel,Hotels,Event Planning & Services
PpIviacdzQbAJU8-Pl9iCg,Yesterday - A Tribute to the Beatles,3801 Las Vegas Blvd S,Las Vegas,NV,89109,36.0990448,-115.1704519,2.5,3,Arts & Entertainment,Performing Arts,""
ZL15NFVdN7hG0NUXppkU9Q,The Habit Burger Grill,"3200 S Las Vegas Blvd, Ste 3060",Las Vegas,NV,89109,36.1272241,-115.1715512,3.5,5,Burgers,Restaurants,""
8pRVvHd7GDNLbWCUcaX36A,Aardvark Affordable,8331 Campana Drive,Las Vegas,NV,89147,36.1030447969,-115.273070954,5.0,109,Home Cleaning,Home Services,Shopping
fGt3udZE8r9JkbfMZnawXg,Super Summer Theatre,Spring Mountain Ranch State Park,Las Vegas,NV,89004,36.071025,-115.454147,4.5,63,Performing Arts,Arts & Entertainment,""
ii4tGOHW2uWA0g-VKw6wNw,Psychic & Tarot Card Reading,4921 Alta Dr,Las Vegas,NV,89107,36.1662339,-115.2077971,5.0,9,Psychics,Arts & Entertainment,Supernatural Readings
eSgl0p7qFmQ4Wb4kfE05kQ,G & G Autohaus,325 S Decatur Blvd,Las Vegas,NV,89107,36.1686552974,-115.204844229,4.5,36,Transmission Repair,Auto Repair,Automotive
Z_GGSlPq2iYXDq8gyobrhA,Gucci,"3720 S Las Vegas Blvd, Ste 200",Las Vegas,NV,89158,36.1085405835,-115.17394047,4.0,10,Fashion,Shopping,Men's Clothing
r4iis9DWfwmK1h6JT9PnAw,The Reset Project,520 Fremont St,Las Vegas,NV,89101,36.159951,-115.147464,5.0,3,Event Planning & Services,Fitness & Instruction,Active Life
2umY2rHabkAnsYNe6Rpj9w,Icon Dental,6040 S Rainbow Blvd,Las Vegas,NV,89118,36.0790891,-115.2422126,2.5,3,Dentists,Health & Medical,General Dentistry
-sGIBo2YdLRu26jwjeQKrA,Elite Investigations,7435 S Eastern Ave,Las Vegas,NV,89123,36.055832,-115.120023,5.0,3,Professional Services,Private Investigation,""
JKdmI3olc-hjjiJRH5ua7Q,The Paramount Apartments,8610 S Maryland Pkwy,Las Vegas,NV,89123,36.0337353,-115.1356244,3.5,32,Home Services,Real Estate,Apartments
nR8nBZi-bMi2aYCaox_WxA,Umc Quick Care,61 N Nellis Blvd,Las Vegas,NV,89110,36.160922,-115.0635973,3.0,6,Health & Medical,Urgent Care,""
HaPwC4nxs6RPfe1pAQkQ4A,Mastrioni's,"3330 S Hualapai Way, Ste 160",Las Vegas,NV,89117,36.1291519,-115.3145487,4.0,334,Italian,Restaurants,Seafood
ekFJGMQtPBA67IH5PH3h5w,A Track Out Solution,2711 Rimbey St,Las Vegas,NV,89115,36.209028,-115.073444,2.5,3,Professional Services,Junk Removal & Hauling,Local Services
wLsbD1miivHM3Y-3p0_2zA,Headlinerz Barbershop,"2675 S Eastern Ave, Ste 300",Las Vegas,NV,89169,36.1411047,-115.1187431,4.5,21,Barbers,Beauty & Spas,""
KskYqH1Bi7Z_61pH6Om8pg,Lotus of Siam,"953 E Sahara Ave, Ste A5",Las Vegas,NV,89104,36.14345,-115.14278,4.0,3964,Car Dealers,Thai,Automotive
QbXpzWS4SuKet92hWxfeSA,Dynamite,3200 Las Vegas Blvd S,Las Vegas,NV,89109,36.126457993,-115.169923827,3.5,3,Accessories,Shopping,Fashion
5PxmfnyL_q6_Gbt46dozRg,Aargon Collection Agency,8668 Spring Mountain Rd,Las Vegas,NV,89117,36.1274842545,-115.281104935,2.0,4,Financial Services,Professional Services,Employment Agencies
wjrRAoqV0SrOjgiQlco2Jg,Massage Well,"5300 W Sahara Ave, Ste 203",Las Vegas,NV,89146,36.1452753,-115.21375,4.0,67,Health & Medical,Shopping,Yoga
nRdv6Gyg8AThLEj2jz9CCQ,Indigo Valley Church,"2685 South Rainbow Blvd, Ste 108",Las Vegas,NV,89146,36.1409949,-115.243574,5.0,4,Religious Organizations,Churches,""
4rbPNY4J5ychtucJuHmu9A,Best Reps,"6440 Sky Pointe Dr, Ste 140-545",Las Vegas,NV,89131,36.279138,-115.2621222,5.0,6,Professional Services,Event Planning & Services,Party & Event Planning
zMxSWlbdGYYm3Qr5aaVFuQ,Lush and Lacquered,"10300 W Charleston Blvd, Ste 17",Las Vegas,NV,89135,36.1606428,-115.320685,5.0,13,Nail Salons,Beauty & Spas,""
